iter	MultiClass
0	1.149559468
1	0.994410476
2	0.860683819
3	0.7658667462
4	0.672446245
5	0.5941541899
6	0.529257379
7	0.4777959258
8	0.4303660426
9	0.3878277657
10	0.3519211205
11	0.3206515108
12	0.2928518017
13	0.2681581943
14	0.2450687656
15	0.2247122894
16	0.2082681206
17	0.1933686231
18	0.1784120224
19	0.1643616866
20	0.1522786514
21	0.1419423832
22	0.1318149721
23	0.1235536439
24	0.1155266532
25	0.1081773697
26	0.1013275218
27	0.0954434388
28	0.09025372712
29	0.08490694772
30	0.08165191959
31	0.07700968516
32	0.0731530106
33	0.06943694963
34	0.06581639297
35	0.06245544721
36	0.0597097661
37	0.05652471071
38	0.05434648717
39	0.051450766
40	0.04938642067
41	0.04732002064
42	0.04553959399
43	0.04381808447
44	0.04247248535
45	0.04095885522
46	0.03950300949
47	0.03822401418
48	0.0374803348
49	0.0361524933
50	0.03549894878
51	0.03440565951
52	0.03318482294
53	0.03190178609
54	0.03087130144
55	0.03024452861
56	0.0293521131
57	0.02860405113
58	0.02803050173
59	0.02738453237
60	0.02686982983
61	0.02617866987
62	0.0254076531
63	0.02471011262
64	0.02406219696
65	0.02334639953
66	0.02289892222
67	0.02254251291
68	0.02202514357
69	0.02163547459
70	0.02113136167
71	0.02064335507
72	0.02021134782
73	0.01981668913
74	0.01948994573
75	0.01919623072
76	0.01888462158
77	0.01836796027
78	0.01811589184
79	0.01781771559
80	0.01740612963
81	0.01693938137
82	0.01659335149
83	0.01632166858
84	0.0160753657
85	0.01585048461
86	0.01558418068
87	0.01539868514
88	0.01505371644
89	0.01469531891
90	0.01443865353
91	0.01414284657
92	0.01388263417
93	0.01365571479
94	0.01347436873
95	0.01319414186
96	0.01296281269
97	0.01282507882
98	0.01265359358
99	0.01250606407
